Target Contract,Source Contract,# Covered Function,Covered Historical Tx (%)
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,6,0.9969356486210419
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,3,0.02247191011235955
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,4,0.024514811031664963
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,3,0.02247191011235955
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,3,0.02247191011235955
Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,4,0.8588957055214724
Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,6,0.8629856850715747
Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,4,0.8537832310838446
Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,7,0.9468302658486708
Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,5,0.8599182004089979
Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,4,0.09611451942740286
Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,5,0.8599182004089979
Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,6,0.9458077709611452
Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,3,0.08997955010224949
MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,4,0.997
MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,4,0.997
MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,3,0.996
MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,4,0.021
MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,4,0.997
MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,3,0.019
MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,4,0.997
MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,5,0.999
MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,2,0.018
CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,3,0.24573721163490472
CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,3,0.24573721163490472
CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,2,0.24473420260782347
CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,4,0.28986960882647944
CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,3,0.24573721163490472
CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,3,0.24573721163490472
CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,5,0.29087261785356067
CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,3,0.24573721163490472
CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,2,0.24473420260782347
BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,4,0.8835341365461847
BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,5,0.8865461847389559
BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,7,0.9949799196787149
BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,5,0.8865461847389559
BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,6,0.07931726907630522
BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,5,0.8865461847389559
BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,8,0.9979919678714859
BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,4,0.07530120481927711
BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,3,0.07630522088353414
Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,4,0.7710843373493976
Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,3,0.1686746987951807
Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,4,0.7710843373493976
Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,4,0.3795180722891566
Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,3,0.1686746987951807
Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,6,0.1817269076305221
Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,4,0.3795180722891566
Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,3,0.1686746987951807
Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,3,0.1686746987951807
Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,3,0.018
Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,3,0.997
Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,3,0.018
Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,4,0.998
Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,3,0.018
Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,4,0.998
Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,3,0.018
Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,3,0.018
Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,2,0.017
PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,2,0.01017293997965412
PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,2,0.01017293997965412
PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,4,0.9989827060020345
PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,2,0.01017293997965412
PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,3,0.011190233977619531
PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,2,0.01017293997965412
