Target Contract,Source Contract,# Covered Function,Covered Historical Tx (%)
BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,1,0.001
BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,4,0.999
BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,3,0.998
BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,2,0.002
BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,4,0.999
BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,3,0.998
BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,4,0.999
BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,3,0.998
BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,3,0.998
IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,3,0.49799599198396793
IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,2,0.46993987975951906
IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,2,0.03507014028056112
IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,3,0.49799599198396793
IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,4,0.966933867735471
IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,4,0.966933867735471
IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,3,0.5040080160320641
IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,4,0.966933867735471
IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,4,0.966933867735471
TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,3,0.8887775551102205
TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,3,0.1062124248496994
TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,3,0.8887775551102205
TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,4,0.8897795591182365
TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,4,0.9929859719438878
TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,4,0.9929859719438878
TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,4,0.9929859719438878
TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,4,0.9929859719438878
TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,5,0.9939879759519038
TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,4,0.503
TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,3,0.814
TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,4,0.503
TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,3,0.438
TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,3,0.619
TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,5,1.0
TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,4,0.935
TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,4,0.935
TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,4,0.935
TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,3,0.9809428284854563
TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,2,0.007021063189568706
TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,2,0.5305917753259779
TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,3,0.9809428284854563
TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,3,0.5366098294884654
TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,4,0.9869608826479438
TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,4,0.9869608826479438
TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,3,0.5366098294884654
TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,4,0.9869608826479438
WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,3,0.39478957915831664
WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,3,0.4649298597194389
WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,2,0.08316633266533066
WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,4,0.39579158316633267
WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,6,0.9749498997995992
WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,4,0.8577154308617234
WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,5,0.8587174348697395
WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,3,0.5460921843687375
WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,4,0.8577154308617234
CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,2,0.969
CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,2,0.002
CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,3,0.97
CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,2,0.028
CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,3,0.996
CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,4,0.997
CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,2,0.028
CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,3,0.996
CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,4,0.997
FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,4,0.997
FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,1,0.001
FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,3,0.994
FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,4,0.997
FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,4,0.997
FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,3,0.994
