Target Contract,Source Contract,# Covered Function,Covered Historical Tx (%)
FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,4,0.997
FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,3,0.994
FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,3,0.994
PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,4,0.3466933867735471
PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,2,0.6302605210420842
PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,3,0.0841683366733467
PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,3,0.3456913827655311
PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,4,0.9749498997995992
PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,4,0.9749498997995992
PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,5,0.9959919839679359
PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,4,0.9749498997995992
PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,5,0.9759519038076152
GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,BNB_0xB8c77482e45F1F44dE1745F52C74426C631bDD52,3,0.997
GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,CroToken_0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,2,0.002
GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,FetchToken_0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,3,0.997
GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,IMXToken_0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,3,0.997
GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,PepeToken_0x6982508145454ce325ddbe47a25d4ec3d2311933,3,0.997
GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,TetherToken_0xdac17f958d2ee523a2206206994597c13d831ec7,4,0.998
GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,TokenMintERC20Token_0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,3,0.997
GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,TRX_0x50327c6c5a14dcade707abad2e27eb517df87ab5,3,0.997
GraphToken_0xc944e90c64b2c07662a292be6244bdf05cda44a7,WBTC_0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,4,0.998
